FID,ACCIDENT_N,ACCIDENTDA,ACCIDENTTI,ACCIDENT_T,Accident_T_1,DAY_OF_WEE,Day_Week_D,DCA_CODE,DCA_Descri,DIRECTORY,EDITION,PAGE,GRID_REFER,GRID_REF_1,LIGHT_COND,Light_Cond_1,NODE_ID,NO_OF_VEHI,NO_PERSONS,NO_PERSO_1,NO_PERSO_2,NO_PERSO_3,NO_PERSO_4,POLICE_ATT,ROAD_GEOME,Road_Geome_1,SEVERITY,SPEED_ZONE,Lat,Long
366,T20130000980,15/01/2013,23.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL,VCS,9,88,C,6,5,Dark No street lights,257456,1,3,0,1,0,2,1,5,Not at intersection,3,100,-38.28319,141.632309999999990
367,T20130000981,15/01/2013,17.12.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,98,C,11,1,Day,267912,1,1,1,0,0,0,1,5,Not at intersection,2,100,-38.08751,145.166300000000010
368,T20130000983,16/01/2013,00.15.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,84,E,6,5,Dark No street lights,257440,1,1,1,0,0,0,1,5,Not at intersection,2,70,-37.79414,147.779210000000010
369,T20130000984,15/01/2013,19.30.00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,54,D,5,2,Dusk/Dawn,267913,1,2,2,0,0,0,2,5,Not at intersection,2,100,-37.24747,141.729060000000000
370,T20130000986,16/01/2013,02.55.00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,514,G,5,3,Dark Street lights on,50757,1,2,0,1,0,1,1,1,Cross intersection,3,70,-38.36967,142.468480000000000
371,T20130000987,16/01/2013,06.00.00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),VCS,9,613,L,5,2,Dusk/Dawn,59875,2,2,0,1,0,1,1,2,T intersection,3,60,-36.80606,144.238930000000010
372,T20130000988,16/01/2013,07.10.00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,45,K,4,1,Day,35459,2,2,0,1,0,1,1,1,Cross intersection,3,60,-37.80079,145.062520000000010
373,T20130000990,13/01/2013,17.50.00,1,Collision with vehicle,1,Sunday,120,HEAD ON (NOT OVERTAKING),VCS,9,535,U,7,1,Day,257793,2,3,0,1,0,2,1,5,Not at intersection,3,60,-34.19497,142.183920000000000
374,T20130000991,11/01/2013,09.20.00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,MEL,40,157,E,10,1,Day,257623,2,1,0,1,0,0,2,5,Not at intersection,3,50,-38.34992,144.755159999999990
375,T20130000993,16/01/2013,07.50.00,1,Collision with vehicle,4,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,MEL,40,42,C,8,1,Day,38779,2,2,1,0,0,1,1,1,Cross intersection,2,50,-37.81467,144.899769999999990
376,T20130000994,10/01/2013,10.40.00,1,Collision with vehicle,5,Thursday,145,REVERSING IN STREAM OF TRAFFIC,VCS,9,704,F,5,1,Day,258094,2,3,0,1,0,2,2,5,Not at intersection,3,60,-38.15697,145.930849999999990
377,T20130000995,15/01/2013,23.25.00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,91,D,8,5,Dark No street lights,257436,1,1,1,0,0,0,1,5,Not at intersection,2,100,-38.42051,143.167200000000010
378,T20130000997,15/01/2013,21.10.00,1,Collision with vehicle,3,Tuesday,140,U TURN,MEL,40,77,J,1,3,Dark Street lights on,42233,2,2,0,1,0,1,1,2,T intersection,3,60,-37.92088,145.056909999999990
379,T20130001000,16/01/2013,07.35.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,MEL,40,2G,J,5,1,Day,257794,2,2,0,1,0,1,1,2,T intersection,3,40,-37.81675,144.994280000000000
380,T20130001001,16/01/2013,09.30.00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,MEL,40,27,E,11,1,Day,257434,2,2,0,1,0,1,1,5,Not at intersection,3,70,-37.78128,144.864970000000000
381,T20130001006,15/01/2013,15.15.00,1,Collision with vehicle,3,Tuesday,131,LEFT REAR,MEL,40,69,F,4,1,Day,257552,2,2,0,1,0,1,2,2,T intersection,3,60,-37.888,145.089190000000000
382,T20130001007,13/01/2013,20.15.00,2,Struck Pedestrian,1,Sunday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,MEL,40,59,F,7,3,Dark Street lights on,259659,1,3,0,1,0,2,2,5,Not at intersection,3,60,-37.85364,145.045590000000000
383,T20130001012,16/01/2013,09.10.00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,2G,F,11,1,Day,37049,1,2,1,0,0,1,1,2,T intersection,2,50,-37.82855,144.988130000000010
384,T20130001015,16/01/2013,06.30.00,6,Vehicle overturned (no collision),4,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,VCS,9,578,F,12,2,Dusk/Dawn,267914,1,1,1,0,0,0,1,5,Not at intersection,2,100,-37.6869,143.873629999999990
385,T20130001016,16/01/2013,12.45.00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),VCS,9,93,B,9,1,Day,260747,2,3,1,0,0,2,1,5,Not at intersection,2,80,-38.48213,144.028560000000000
386,T20130001017,16/01/2013,10.00.00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),VCS,9,696,J,7,1,Day,45041,2,2,0,1,0,1,2,1,Cross intersection,3,999,-38.2015,146.544549999999990
387,T20130001018,16/01/2013,09.55.00,1,Collision with vehicle,4,Wednesday,136,RIGHT TURN SIDESWIPE,VCS,9,84,A,7,1,Day,267915,2,3,0,1,0,2,1,5,Not at intersection,3,100,-37.85358,147.541709999999990
388,T20130001021,16/01/2013,04.50.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,567,P,8,3,Dark Street lights on,267916,1,1,1,0,0,0,1,5,Not at intersection,2,110,-37.559,143.917260000000000
389,T20130001023,16/01/2013,08.14.00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,42,C,8,1,Day,38778,1,2,0,1,0,1,1,1,Cross intersection,3,60,-37.81438,144.897179999999990
390,T20130001025,15/01/2013,16.30.00,8,No collision and no object struck,3,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND,VCS,9,80,C,3,1,Day,114320,1,2,0,1,0,1,2,5,Not at intersection,3,999,-37.59124,145.642169999999990
391,T20130001026,16/01/2013,13.50.00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,565,Q,7,1,Day,52837,2,3,0,3,0,0,1,1,Cross intersection,3,50,-37.55687,143.816030000000010
392,T20130001027,13/01/2013,17.15.00,1,Collision with vehicle,1,Sunday,131,LEFT REAR,MEL,40,87,B,6,1,Day,35605,2,2,0,1,0,1,2,1,Cross intersection,3,60,-37.98217,145.071350000000000
393,T20130001028,16/01/2013,15.20.00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,693,S,2,1,Day,52034,2,2,0,1,0,1,1,1,Cross intersection,3,100,-38.08821,147.086000000000010
394,T20130001029,16/01/2013,12.05.00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),MEL,40,159,A,10,1,Day,257795,2,2,1,0,0,1,1,5,Not at intersection,2,60,-38.34707,144.931690000000000
395,T20130001030,16/01/2013,13.42.00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,565,R,2,1,Day,258340,2,3,1,0,0,2,1,2,T intersection,2,50,-37.53304,143.816900000000000
396,T20130001031,16/01/2013,14.40.00,1,Collision with vehicle,4,Wednesday,132,RIGHT REAR.,VCS,9,93,D,8,1,Day,267918,2,3,0,2,0,1,1,2,T intersection,3,80,-38.43288,144.133990000000010
397,T20130001037,16/01/2013,16.50.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,99,F,8,1,Day,43375,3,4,0,1,0,3,2,2,T intersection,3,60,-38.12194,145.134960000000010
398,T20130001039,16/01/2013,17.15.00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE,MEL,40,21,F,10,1,Day,267919,3,2,1,0,0,1,1,5,Not at intersection,2,70,-37.73175,145.133770000000000
399,T20130001040,16/01/2013,17.57.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,MEL,40,646,B,11,1,Day,49472,2,3,2,0,0,1,1,1,Cross intersection,2,60,-37.4167,144.982059999999990
400,T20130001042,16/01/2013,16.30.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,MEL,40,205,H,9,1,Day,44336,2,4,0,1,0,3,1,1,Cross intersection,3,50,-37.90456,144.655499999999990
401,T20130001043,16/01/2013,14.20.00,6,Vehicle overturned (no collision),4,Wednesday,172,OFF CARRIAGEWAY TO RIGHT,VCS,9,85,H,5,1,Day,267920,1,2,0,2,0,0,1,5,Not at intersection,3,100,-37.74583,148.401469999999990
402,T20130001045,16/01/2013,20.00.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,77,D,2,2,Dusk/Dawn,267921,1,5,2,3,0,0,1,5,Not at intersection,2,100,-37.52757,144.172720000000000
403,T20130001046,16/01/2013,15.30.00,1,Collision with vehicle,4,Wednesday,154,PULLING OUT -REAR END,MEL,40,80,H,4,1,Day,267922,2,2,0,2,0,0,1,5,Not at intersection,3,100,-37.93176,145.188199999999990
404,T20130001047,16/01/2013,18.00.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,MEL,40,79,H,2,1,Day,30002,3,4,1,2,0,1,1,2,T intersection,2,80,-37.9247,145.143589999999990
405,T20130001048,15/01/2013,14.30.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,95,K,5,1,Day,53378,2,2,0,2,0,0,2,1,Cross intersection,3,80,-38.02094,145.239120000000010
406,T20130001050,16/01/2013,09.30.00,1,Collision with vehicle,4,Wednesday,134,LANE CHANGE RIGHT (NOT OVERTAKING),MEL,40,80,F,10,1,Day,801,2,2,0,1,0,1,2,2,T intersection,3,80,-37.95362,145.179480000000010
407,T20130001053,16/01/2013,21.30.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,2B,B,8,9,Unknown,36210,2,2,0,1,0,1,2,1,Cross intersection,3,50,-37.79972,144.957560000000000
408,T20130001056,16/01/2013,07.45.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,2S,H,7,1,Day,257430,2,2,0,1,0,1,2,5,Not at intersection,3,999,-37.79935,144.903510000000010
409,T20130001058,16/01/2013,22.15.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,MEL,40,168,G,7,5,Dark No street lights,267923,1,1,1,0,0,0,1,5,Not at intersection,2,50,-38.38225,144.824909999999990
410,T20130001061,15/01/2013,18.30.00,2,Struck Pedestrian,3,Tuesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,MEL,40,2B,B,9,1,Day,53184,1,2,1,0,0,1,1,4,Multiple intersection,2,60,-37.80181,144.957449999999990
411,T20130001062,17/01/2013,07.05.00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),MEL,40,77,J,5,1,Day,42240,2,2,0,2,0,0,1,1,Cross intersection,3,70,-37.93569,145.056240000000000
412,T20130001066,17/01/2013,07.48.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,MEL,40,29,B,12,1,Day,267924,3,3,0,2,0,1,1,5,Not at intersection,3,50,-37.78437,144.937690000000000
413,T20130001067,16/01/2013,18.00.00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,21,E,5,1,Day,267925,1,1,1,0,0,0,1,5,Not at intersection,2,100,-35.71093,144.224780000000010
414,T20130001068,16/01/2013,15.05.00,1,Collision with vehicle,4,Wednesday,131,LEFT REAR,MEL,40,168,K,4,1,Day,1114,2,2,1,0,0,1,1,2,T intersection,2,60,-38.37076,144.841109999999990
415,T20130001069,17/01/2013,09.30.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,MEL,40,33,J,11,1,Day,38354,2,2,0,1,0,1,1,1,Cross intersection,3,60,-37.78035,145.144800000000000
416,T20130001071,17/01/2013,10.45.00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),MEL,40,37,K,12,1,Day,64653,2,2,1,0,0,1,1,2,T intersection,2,50,-37.7856,145.329640000000010
417,T20130001078,16/01/2013,07.45.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,182,B,6,1,Day,267926,2,2,0,1,0,1,2,5,Not at intersection,3,60,-37.63217,145.027250000000010
418,T20130001082,17/01/2013,12.05.00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,68,J,8,1,Day,267927,1,1,1,0,0,0,1,5,Not at intersection,2,50,-37.90311,145.059169999999990
